prep_type,target_id,cq,dilution,tech_rep,biol_rep
std,pTff4,13.84505443,0.0001,1,
std,pTff4,14.09005962,0.0001,2,
std,pTm1,13.67448854,0.0001,1,
std,pTm1,13.62871031,0.0001,2,
std,pTm2,13.57736885,0.0001,1,
std,pTm2,13.73250985,0.0001,2,
std,pWSK29,13.67873956,0.0001,1,
std,pWSK29,13.98103157,0.0001,2,
std,pTff4,15.63829573,0.00001,1,
std,pTff4,16.01092167,0.00001,2,
std,pTm1,16.71452019,0.00001,1,
std,pTm1,16.82035829,0.00001,2,
std,pTm2,17.43476074,0.00001,1,
std,pTm2,17.50470676,0.00001,2,
std,pWSK29,14.89797876,0.00001,1,
std,pWSK29,14.72226854,0.00001,2,
std,pTff4,19.78034423,0.000001,1,
std,pTff4,19.35529157,0.000001,2,
std,pTm1,21.26373419,0.000001,1,
std,pTm1,21.55664497,0.000001,2,
std,pTm2,21.26552697,0.000001,1,
std,pTm2,21.97677106,0.000001,2,
std,pWSK29,19.17174304,0.000001,1,
std,pWSK29,19.19530613,0.000001,2,
std,pTff4,25.21274026,0.0000001,1,
std,pTff4,25.46112519,0.0000001,2,
std,pTm1,25.46245487,0.0000001,1,
std,pTm1,25.62969512,0.0000001,2,
std,pTm2,25.39250331,0.0000001,1,
std,pTm2,25.80926708,0.0000001,2,
std,pWSK29,25.08179199,0.0000001,1,
std,pWSK29,25.14529631,0.0000001,2,
non_exo,pTff4,11.55929977,1,1,A
non_exo,pTff4,11.39955036,1,2,A
non_exo,pTm1,15.69893619,1,1,A
non_exo,pTm1,14.00620313,1,2,A
non_exo,pTm2,16.31836293,1,1,A
non_exo,pTm2,14.16972117,1,2,A
non_exo,pWSK29,12.35449117,1,1,A
non_exo,pWSK29,12.52533109,1,2,A
exo,pTff4,15.00529445,1,1,A
exo,pTff4,14.01143371,1,2,A
exo,pTm1,13.72028889,1,1,A
exo,pTm1,13.66832764,1,2,A
exo,pTm2,15.03801718,1,1,A
exo,pTm2,14.85739993,1,2,A
exo,pWSK29,14.37615736,1,1,A
exo,pWSK29,14.45413523,1,2,A
ntc,pTff4,34.32012944,1,1,
ntc,pTff4,33.29234701,1,2,
ntc,pTm1,36.7150972,1,1,
ntc,pTm1,36.79703536,1,2,
ntc,pTm2,NaN,1,1,
ntc,pTm2,NaN,1,2,
ntc,pWSK29,35.04689737,1,1,
ntc,pWSK29,NaN,1,2,