target_id,biol_rep,techrep_mean,xsome_techrep_mean,efficiency,xsome_efficiency,amplicon_size,xsome_amplicon_size
pTd2,1,22.54604149,24.29684808,0.875415698,0.721495582,103,123
pTd2,2,22.81301176,25.01107983,0.875415698,0.721495582,103,123
pTd3,1,23.04728654,24.29684808,0.796167665,0.721495582,115,123
pTd3,2,22.92387833,25.01107983,0.796167665,0.721495582,115,123
pTd1,1,24.43306145,24.29684808,0.886610723,0.721495582,114,123
pTd1,2,24.40121301,25.01107983,0.886610723,0.721495582,114,123
pTff2,1,28.2069686,22.08538216,0.868642921,0.873309233,150,123
pTff2,2,29.28594694,22.72885211,0.868642921,0.873309233,150,123
pTff3,1,22.18964082,22.99170147,0.697196962,0.683287336,123,123
pTff3,2,21.73518067,23.04847151,0.697196962,0.683287336,123,123
pTff4,1,24.47738548,22.99170147,0.673835862,0.683287336,142,123
pTff4,2,24.69673479,23.04847151,0.673835862,0.683287336,142,123
pTff1,1,28.1015655,22.99170147,0.818469529,0.683287336,121,123
pTff1,2,28.0391659,23.04847151,0.818469529,0.683287336,121,123
pTm1,1,23.56697603,26.64382667,0.871359222,0.847443186,126,123
pTm1,2,25.3960466,29.37533412,0.871359222,0.847443186,126,123
pTm2,1,25.81423187,26.64382667,0.79685154,0.847443186,134,123
pTm2,2,27.86278726,29.37533412,0.79685154,0.847443186,134,123
pWSK29,1,14.54485381,17.4645725,0.814836573,0.853266531,128,115